symbol,marketCap,trailingPE,forwardPE,priceToBook,bookValue,beta,dividendYield,earningsGrowth,revenueGrowth,totalRevenue,grossMargins,operatingMargins,profitMargins,returnOnAssets,returnOnEquity
PLTR,317077487616.0,584.1739,285.87234,58.442802,2.299,2.638,,1.028,0.393,3115023872.0,0.8001,0.19917999,0.18320999,0.043920003,0.12357
SQ,,,,,,,,,,,,,,,
UBER,195796238336.0,16.397547,39.67373,8.912898,10.505,1.387,,,0.138,45380001792.0,0.33594,0.106479995,0.27074,0.05214,0.69382006
LYFT,6793271296.0,107.66666,16.313131,8.099298,1.994,2.224,,,0.135,5958986752.0,0.35277,-0.01989,0.00955,-0.00921,0.08558
RIVN,15656944640.0,,-4.770073,2.4074416,5.429,1.862,,,0.03,5006000128.0,-0.09329,-0.52823,-0.76828,-0.15445,-0.53723997
LCID,6588561920.0,,-2.4545455,2.0689654,1.044,0.817,,,0.361,870140032.0,-1.0568,-2.94379,-2.75732,-0.20443001,-0.50062
DASH,101185830912.0,302.2658,134.15169,12.058274,19.803,1.669,,,0.207,11240999936.0,0.50245,0.05673,0.03016,0.01424,0.04336
COIN,90624032768.0,66.62921,99.663864,8.653144,41.118,3.62,,-0.944,0.235,6665887744.0,0.85248,0.014789999,0.22028999,0.00223,0.15841
HOOD,83300827136.0,53.94286,129.31506,10.499389,8.991,2.256,,1.14,0.5,3260000000.0,0.90982,0.39914,0.48773,0.0432,0.21430999
SOFI,20526534656.0,43.186047,64.034485,3.069929,6.049,1.827,,-0.192,0.201,2771415040.0,0.82064,0.10414,0.17382,0.01395,0.07513
NET,66296094720.0,,222.40698,46.48117,4.115,1.835,,,0.265,1770110976.0,0.76881,-0.111140005,-0.04616,-0.02927,-0.07351
OKTA,17351483392.0,152.47693,34.17586,2.6422288,37.51,0.841,,,0.115,2680999936.0,0.76688004,0.05669,0.04849,0.0010899999,0.020769998
ZM,23774222336.0,23.597599,14.854443,2.6778898,29.344,0.694,,0.177,0.029,4698913792.0,0.75851,0.20566,0.22313999,0.05019,0.12191
DOCU,15967017984.0,15.022813,21.414633,7.9233932,9.973,1.132,,1.135,0.076,3030753024.0,0.79387003,0.0789,0.365,0.044099998,0.70195997
ROKU,12946030592.0,,-140.1111,5.1254206,17.222,2.088,,,0.158,4252101120.0,0.438,-0.05356,-0.024920002,-0.02574,-0.04341
TWLO,18362101760.0,,28.5,2.3027437,52.229,1.304,,,0.12,4583449088.0,0.50552,0.01969,-0.0074299998,0.00155,-0.0039
CRWD,128138387456.0,,120.398125,37.105736,13.855,1.158,,,0.198,4136022016.0,0.74477,-0.10699,-0.04166,-0.01467,-0.05738
DDOG,53581512704.0,330.10638,76.428566,18.347918,8.456,1.001,,-0.422,0.246,2834575104.0,0.80151004,-0.01631,0.058480002,0.00368,0.06476
MDB,17269499904.0,,65.22839,5.6938868,37.117,1.402,,,0.219,2104896000.0,0.7289,-0.09481,-0.04091,-0.0319,-0.04003
SNOW,73901907968.0,,238.1613,30.690039,7.217,1.211,,,0.257,3839760896.0,0.66580003,-0.32700002,-0.36428002,-0.115609996,-0.40139
SHOP,151242948608.0,93.967735,62.98378,13.676055,8.52,2.626,,,0.268,9379000320.0,0.49941003,0.1178,0.17166,0.07078,0.16145
ETSY,5669812224.0,39.398552,20.91154,-6.2790155,-8.659,1.787,,,0.008,2813553920.0,0.72295,0.12189999,0.06688,0.10596,
MELI,127455797248.0,61.724773,51.964653,25.470858,98.703,1.506,,0.436,0.37,22378999808.0,0.52241004,0.13058,0.0921,0.07739,0.49106997
W,7287008768.0,,69.256096,-2.5665476,-22.127,2.944,,,0.0,11852000256.0,0.30306998,-0.01685,-0.03012,-0.04449,
BILI,9052899328.0,,34.229507,0.6066593,34.418,0.865,,,0.236,28170172416.0,0.34460998,0.00214,-0.021559998,-0.010039999,-0.043109998
IQ,1714066944.0,44.5,6.846154,0.1256175,14.17,-0.208,,-0.722,-0.093,28484352000.0,0.24052,0.04758,0.01021,0.017439999,0.023510002
JD,46228905984.0,7.783981,7.746377,0.19728829,162.554,0.494,3.06,0.527,0.158,1199851962368.0,0.09884,0.03498,0.0376,0.04142,0.16283001
BABA,259354918912.0,14.532085,11.013171,0.2485685,437.304,0.209,0.93,2.732,0.066,996347019264.0,0.39952,0.13988,0.13059,0.05313,0.114379995
PDD,147061538816.0,11.079144,7.352022,0.4373414,236.863,0.402,,-0.473,0.102,402696208384.0,0.59733003,0.16813,0.24629,0.1356,0.36169997
NTES,84714594304.0,18.951498,17.666224,2.9315064,45.318,0.848,2.05,0.349,0.074,107272036352.0,0.6271,0.36218,0.30171,0.102299996,0.23698
TME,30354096128.0,22.894115,25.272726,0.40581402,47.953,0.504,0.92,2.018,0.087,28988999680.0,0.43106,0.61705,0.32816002,0.07354,0.14661999
BIDU,30101090304.0,8.515779,7.7862935,0.11007936,784.434,0.318,,0.416,0.03,134063996928.0,0.49126998,0.13891,0.19415002,0.02934,0.093739994
WB,2342748672.0,6.92029,5.39548,0.6630563,14.403,0.121,8.6,1.164,0.003,1756034944.0,0.78844,0.27796,0.20405,0.045289997,0.107930005
YMM,12634350592.0,24.16,19.174603,0.32924503,36.69,0.203,1.63,1.183,0.19,11669833728.0,0.89839,0.44537,0.32196,0.05134,0.10325
SE,88489222144.0,104.52448,70.83887,9.8432665,15.185,1.634,,,0.296,17926637568.0,0.43999,0.094280005,0.04859,0.03049,0.1113
GDS,6322420736.0,308.9091,-56.63333,0.28432527,119.511,0.231,,,0.12,10612992000.0,0.22107,0.13412,0.42723,0.01069,0.01201
BEKE,21177671680.0,33.339626,15.232759,0.29866135,59.164,-0.748,2.03,0.982,0.424,100408532992.0,0.23547001,0.025320001,0.044710003,0.02251,0.0652
ZTO,14290761728.0,11.3522005,9.209183,0.23202899,77.792,-0.174,3.94,0.398,0.094,45212180480.0,0.29647,0.22084999,0.20756,0.08154,0.15635
KWEB,,16.97991,,,,,3.09,,,,,,,,
FXI,4695151616.0,10.334952,,0.89875114,40.356,,1.52,,,,,,,,
ARKK,,39.93522,,,,,0.0,,,,,,,,
ARKG,,,,,,,0.0,,,,,,,,
ARKF,,34.88491,,,,,0.0,,,,,,,,
ARKW,,37.818554,,,,,0.0,,,,,,,,
ICLN,,19.34695,,,,,1.65,,,,,,,,
TAN,,18.807844,,,,,0.51,,,,,,,,
LIT,,23.887026,,,,,1.04,,,,,,,,
BOTZ,,30.327665,,,,,0.14,,,,,,,,
ROBO,1185525376.0,24.851137,,201.84818,0.303,,0.55,,,,,,,,
QQQ,218650066944.0,32.577915,,1.5546685,357.774,,0.58,,,,,,,,
SPY,573925818368.0,27.031727,,1.4569219,429.22,,1.21,,,,,,,,
VOO,,27.294514,,1.4717003,390.854,,1.29,,,,,,,,
DIA,36404129792.0,23.102032,,1.2509701,358.194,,1.52,,,,,,,,
IWM,62696632320.0,18.6335,,1.0200554,218.694,,1.2,,,,,,,,
VT,,21.773592,,,,,1.83,,,,,,,,
EWZ,5878120448.0,10.831347,,0.8012137,36.582,,7.39,,,,,,,,
RSX,,4.3129773,,,,,0.0,,,,,,,,
EFA,84005568512.0,17.295002,,1.2352526,72.471,,2.76,,,,,,,,
EEM,36687024128.0,14.828037,,0.92771935,52.559,,2.23,,,,,,,,
TLT,9540609024.0,,-4348.5,0.5842206,148.865,,4.39,,,,,,,,
IEF,13834959872.0,,,0.80882233,117.158,,3.71,,,,,,,,
HYG,15720372224.0,11.050966,1339.5001,0.9136484,87.966,,5.83,,,,,,,,
JNK,8651601920.0,20.303795,,0.8931633,108.502,,6.63,,,,,,,,
BND,,,,,,,3.75,,,,,,,,
